parcel_nbr,event_date,event_date2,other_note
0141-032-31-0000,10/31/2023,,
0595-081-07-0000,12/31/2023,,
0595-171-04-0000,12/31/2023,,
0595-172-03-0000,12/31/2023,,
0595-191-11-0000,12/31/2023,,
0595-191-12-0000,12/31/2023,,
0602-262-21-0000,12/15/2023,,
0595-192-22-0000,12/31/2023,,
0162-191-26-0000,10/12/2023,,
0595-331-17-0000,12/31/2023,,
0597-071-42-0000,12/31/2023,,
1119-221-66-0000,12/31/2023,,
1015-361-31-0000,9/5/2023,,
0232-011-19-0000,9/7/2023,,
1015-081-03-0000,12/13/2022,,
1015-071-09-0000,12/31/2022,,
1015-061-06-0000,12/31/2022,,
1015-061-07-0000,12/31/2022,12/31/2022,2nd & 3rd
1015-061-08-0000,12/31/2022,,
0266-561-30-0000,12/31/2022,,
0349-191-24-0000,7/27/2023,,
1049-063-07-0000,9/5/2023,,
0266-591-13-0000,9/27/2023,,
0269-061-47-0000,8/22/2023,8/16/2023,
0268-453-06-0000,8/26/2023,,
0280-052-09-0000,8/26/2023,,
0144-192-12-0000,8/23/2023,,
,,,
3103-461-03-0000,7/28/2023,,2nd
0261-182-43-0000,7/13/2023,,
3091-191-26-0000,10/2/2023,,
1056-111-08-0000,3/31/2023,,
3091-261-28-0000,10/13/2023,,
0601-402-16-0000,10/25/2023,,5
0591-331-24-0000,12/31/2023,,
,,,
1020-581-13-0000,12/29/2023,,
1011-241-09-0000,9/15/2023,,
0251-121-33-0000,12/30/2023,,
0601-551-33-0000,12/29/2023,,
0473-384-05-0000,8/29/2023,8/30/2023,
0618-302-09-0000,7/10/2023,,2
3106-202-08-0000,4/4/2023,,
0486-121-10-0000,10/11/2023,,
1022-071-42-0000,11/29/2023,,
0618-342-12-0000,10/19/2023,,
0455-052-23-0000,12/31/2022,12/31/2023,
3091-421-65-0000,10/11/2023,,
0261-182-43-0000,7/13/2023,,
3128-021-04-0000,10/6/2023,,
0280-271-10-0000,8/23/2023,,
0573-321-02-0000,10/19/2023,,
0473-363-01-0000,12/31/2022,12/31/2023,
,,,
3102-351-03-0000,10/18/2023,,
0209-541-34-0000,9/22/2023,,
0210-212-34-0000,9/18/2023,,
0128-251-08-0000,12/31/2023,,2
0264-212-09-0000,12/31/2023,,
0128-251-08-0000,12/31/2023,,
3112-731-06-0000,10/27/2023,,
1077-661-25-0000,12/31/2023,,2
0459-163-19-0000,10/31/2023,,
3057-131-30-0000,10/11/2023,,2
3057-131-29-0000,10/11/2023,,
0258-011-26-0000,5/9/2023,,
0280-231-48-0000,9/13/2023,,
0292-063-52-0000,10/5/2023,,
,,,
0285-742-18-0000,12/30/2023,,
0348-132-24-0000,5/4/2023,,
1056-121-05-0000,12/29/2023,,
0528-232-07-0000,10/19/2023,,
0531-042-02-0000,10/25/2023,,
0261-111-44-0000,6/23/2023,,
3090-431-07-0000,11/30/2023,,
1056-121-06-0000,12/29/2023,,
1026-311-01-0000,1/1/2023,,
0278-191-34-0000,9/4/2023,9/5/2023,
0292-071-61-0000,10/16/2023,,2
0251-203-09-0000,12/30/2023,,
0240-041-39-0000,12/31/2023,,
0451-121-48-0000,11/6/2021,,
0240-041-40-0000,12/31/2023,,
1049-111-03-0000,4/30/2021,,
3088-031-17-0000,10/3/2023,,
0240-091-10-0000,12/31/2023,,
0232-091-23-0000,12/31/2023,,
0601-412-23-0000,10/10/2023,,4
0405-331-21-0000,12/31/2023,,
0234-221-02-0000,12/31/2023,,
,,,
0292-082-93-0000,12/30/2023,,
0233-141-08-0000,12/31/2023,,
0238-111-33-0000,12/16/2020,,6
3072-231-19-0000,12/31/2023,,
1201-331-08-0000,12/31/2023,,
