parcel_nbr,event_date,event_date2,other_note,parcel_nbr_clean,capp_guid,event_date_x,event_date_y
0601-601-10-0000,2023-12-31,,,0601601100000,{E82D0614-D986-4A39-B655-3DFABCD6837A},,
0601-601-11-0000,2023-12-31,,2,0601601110000,{8A71C3B8-CC03-4A51-9C2C-EE39DA266F6F},,
0601-601-11-0000,2023-12-31,,2,0601601110000,{CFABACB7-4A16-4BF5-9427-C0E6EFAA8149},,
0601-601-12-0000,2023-12-31,,,0601601120000,{9F5B5C07-9C99-4C2B-84AD-506A0AA73517},,
0601-601-13-0000,2023-12-31,,,0601601130000,{704F56DC-D2E4-47F5-A7FE-FB87878C583F},,
0601-601-14-0000,2023-12-31,,,0601601140000,{2A81FA19-3317-402D-8C9F-802A7BD6CB6A},,
0601-601-15-0000,2023-12-31,,,0601601150000,{0E7704B7-6F94-4A27-990B-847E147403BA},,
0396-042-11-0000,2023-09-05,,,0396042110000,{10B378E5-EAE5-492B-B259-DB9743E0D124},,
0601-601-16-0000,2023-12-31,,,0601601160000,{E3196C26-923E-4197-9BDA-975F7B8CE23C},,
0601-601-17-0000,2023-12-31,,,0601601170000,{7C9506C6-1C36-4A6F-B9D3-B5A42F27C3E4},,
0601-601-18-0000,2023-12-31,,,0601601180000,{FD464420-D96F-412B-9AE8-2E58A3D97211},,
0601-601-19-0000,2023-12-31,,,0601601190000,{4585A9A3-6B3B-45AD-9537-CDB45AA3B9EA},,
0601-601-20-0000,2023-12-31,,,0601601200000,{5B24E45E-ADE4-4C3F-AB97-121AE2638890},,
0601-601-21-0000,2023-12-31,,,0601601210000,{EC6B810F-5227-43E0-9FE2-D5E97DC531D1},,
0601-601-22-0000,2023-12-31,,,0601601220000,{D4E480CC-79F7-41DC-A147-0824642645EB},,
0601-601-23-0000,2023-12-31,,,0601601230000,{0434AACE-4A34-4650-B93F-B0538746C17F},,
0601-601-24-0000,2023-12-31,,,0601601240000,{F78EB366-90B0-45F5-9200-F03B252A8E1C},,
0602-173-21-0000,2023-12-31,,,0602173210000,{B3997415-24D9-4AAE-A8E2-8F9FF50F9672},,
0604-141-51-0000,2023-12-31,,2,0604141510000,{A915F03E-A495-4C59-B2A0-4628170675AE},,
0604-141-51-0000,2023-12-31,,2,0604141510000,{D4ADBE28-7CDB-41E1-ADD8-355CA72CFC23},,
0604-141-52-0000,2023-12-31,,,0604141520000,{D627B49D-13A9-4E0F-ACB4-6A1F015EA68D},,
0604-231-19-0000,2023-12-31,,,0604231190000,{189AF43B-1389-48C5-89DA-1FC82C9C5B1B},,
0604-231-20-0000,2023-12-31,,,0604231200000,{B348C853-4F5C-4A51-B0BB-AEB40362487A},,
0604-051-44-0000,2023-12-31,,,0604051440000,{DB35AA4D-306C-419D-801D-1216A4E9B26C},,
0604-051-06-0000,2023-12-31,,,0604051060000,{3F3BA202-9C3C-463F-9F68-818E736CA5DC},,
0194-371-12-0000,2023-12-31,,2,0194371120000,{4DF36437-D5EF-4493-A81F-FADBCA57617A},,
0194-371-12-0000,2023-12-31,,2,0194371120000,{6B489753-13CA-4AC3-BF25-7809362CB4B7},,
0186-031-08-0000,2023-12-31,,,0186031080000,{96E34E4F-F758-473D-8133-21B3807774DA},,
0338-146-06-0000,2023-12-31,,,0338146060000,{DC8DD549-2351-4614-BC88-98714144A2AE},,
0186-241-68-0000,2023-12-31,,,0186241680000,{6E02A0EB-CC65-46D5-91CE-4AEA0F8A3E55},,
0186-106-01-0000,2023-12-31,,,0186106010000,{7001A90D-9FBB-4D40-AAF5-B03E64DC1E46},,
0186-106-02-0000,2023-12-31,,,0186106020000,{ACE0847C-F40F-4C5C-BCF1-F14755BFF072},,
0434-042-21-0000,2023-09-07,,,0434042210000,{D922B9B1-A1DF-4F11-B8DA-A45CD7A452ED},,
0164-162-43-0000,2023-10-02,,,0164162430000,{FA151461-4436-4D1F-80F0-40A99C2BA0E1},,
0327-153-09-0000,2023-12-31,,,0327153090000,{93FF00F8-F979-40C0-8FC4-C807583F9C02},,
0327-153-10-0000,2023-12-31,,,0327153100000,{9D805AD8-0CEA-4C38-B00A-E3CE974B0B70},,
0191-011-12-0000,2023-12-31,,2,0191011120000,{1ABCCDE4-0401-4F39-9854-1085A187C5BA},,
0191-011-12-0000,2023-12-31,,2,0191011120000,{FC53698B-0DB2-4A48-B31F-D25FAED5B943},,
0141-032-31-0000,2023-10-31,,,0141032310000,{771BBA6D-A204-4326-BAEA-C55FE23A68ED},,
0595-081-07-0000,2023-12-31,,,0595081070000,{1A030BA4-F1A2-4027-9548-740C5E327557},,
0595-171-04-0000,2023-12-31,,,0595171040000,{4233A742-53D6-4C51-AFDA-7D2A58A032E7},,
0595-172-03-0000,2023-12-31,,,0595172030000,{401EEC00-98E1-4D74-B5D6-693729C787B4},,
0595-191-11-0000,2023-12-31,,,0595191110000,{C4DA25B0-2818-4D58-AEC3-DAAF29601EF5},,
0595-191-12-0000,2023-12-31,,,0595191120000,{1DEF55A5-444E-4FD7-BE97-D74DC5A1F7E8},,
0602-262-21-0000,2023-12-15,,,0602262210000,{F85F87FB-E934-40D8-BCFB-1B5E7FC3C868},,
0595-192-22-0000,2023-12-31,,,0595192220000,{1F5EBB10-5958-4B6F-91DA-79016E4EB1C9},,
0162-191-26-0000,2023-10-12,,,0162191260000,{D1A22A47-7B47-448B-9CE2-4162A8CB03F6},,
0595-331-17-0000,2023-12-31,,,0595331170000,{A0822673-C201-42DF-973C-AE7AC92A388C},,
0597-071-42-0000,2023-12-31,,,0597071420000,{430433DA-FDD6-4F13-B9AC-1B8B644D4154},,
0232-011-19-0000,2023-09-07,,,0232011190000,{895D3EC0-DEEC-4942-A6EB-7BCAEDA3D379},,
0266-561-30-0000,2022-12-31,,,0266561300000,{2AFE946C-6E48-4C8F-A1EB-42510DC1B0EE},,
0349-191-24-0000,2023-07-27,,,0349191240000,{8632BACF-CACA-4533-BF72-9B89BD3BE9AD},,
0266-591-13-0000,2023-09-27,,,0266591130000,{0D5EED41-BFB5-4999-A5B4-4554A8264DB6},,
0269-061-47-0000,2023-08-22,2023-08-16,,0269061470000,{81E2C2E0-B07D-43F8-88FE-65B93FF38CC6},,
0268-453-06-0000,2023-08-26,,,0268453060000,{B289ABD3-4443-4D7A-8CA3-66E5A0EFD3F7},,
0280-052-09-0000,2023-08-26,,,0280052090000,{B3D3AB0C-63B2-4727-AAD6-EEEC4FC52D78},,
0144-192-12-0000,2023-08-23,,,0144192120000,{FCC0DE76-3095-4D03-8635-40275EC5C8EE},,
0261-182-43-0000,2023-07-13,,,0261182430000,{F6A20CF8-90DE-4B59-B298-3B1F02A96CF1},,
0601-402-16-0000,2023-10-25,,5,0601402160000,{05590DE9-6AE5-43AC-9E55-77E4078BE79B},,
0601-402-16-0000,2023-10-25,,5,0601402160000,{1F263C54-44E1-4E18-AD59-45F0D4E6F00B},,
0601-402-16-0000,2023-10-25,,5,0601402160000,{3E70B014-F592-47CE-8E68-B30D718F66A7},,
0601-402-16-0000,2023-10-25,,5,0601402160000,{4BE06826-7226-40A9-A8F1-F4761F72284B},,
0601-402-16-0000,2023-10-25,,5,0601402160000,{F7F9C8C4-B192-4848-B474-78EA42871073},,
0591-331-24-0000,2023-12-31,,,0591331240000,{299D92F8-488B-4B88-AC7B-92967998C868},,
0251-121-33-0000,2023-12-30,,,0251121330000,{301F4EC6-5931-4F90-AED9-914422217FA3},,
0601-551-33-0000,2023-12-29,,,0601551330000,{FBDBB9BB-4F69-4623-BD1E-02E6540C70EF},,
0473-384-05-0000,2023-08-29,2023-08-30,,0473384050000,{D029F6F9-26BB-46D4-AF69-E8F73348FCDC},,
0618-302-09-0000,2023-07-10,,2,0618302090000,{6440825B-B3DC-4FBD-8BDA-70FBBCC50A23},,
0618-302-09-0000,2023-07-10,,2,0618302090000,{88B4D670-AA86-4812-AF2C-56494877675E},,
0486-121-10-0000,2023-10-11,,,0486121100000,{3F8B8E74-ECB3-4D6E-AA46-A4B845B875D2},,
0618-342-12-0000,2023-10-19,,,0618342120000,{184045B6-23C9-48E1-ACD9-DF7E590A5E58},,
0455-052-23-0000,2022-12-31,2023-12-31,,0455052230000,{37F038F8-2430-459A-AA39-E574E11B7814},,
0261-182-43-0000,2023-07-13,,,0261182430000,{F6A20CF8-90DE-4B59-B298-3B1F02A96CF1},,
0280-271-10-0000,2023-08-23,,,0280271100000,{6FE4756A-1116-4686-BC85-19DE057CF3FE},,
0573-321-02-0000,2023-10-19,,,0573321020000,{5A8FCB52-80ED-4339-9581-C0A5CC7B0286},,
0473-363-01-0000,2022-12-31,2023-12-31,,0473363010000,{E1F10D40-E963-45CC-902A-5BB2B5F32D5F},,
0209-541-34-0000,2023-09-22,,,0209541340000,{A57BAA0E-9FA5-480E-AF4B-8888F8D5DF11},,
0210-212-34-0000,2023-09-18,,,0210212340000,{292DC635-80D7-4940-865A-D89D4A6F5CCD},,
0128-251-08-0000,2023-12-31,,2,0128251080000,{29F68FCC-5868-4FD6-BEEE-3AA95BD38A43},,
0128-251-08-0000,2023-12-31,,2,0128251080000,{A2827103-1628-4AC6-A984-D8DC3559B10D},,
0264-212-09-0000,2023-12-31,,,0264212090000,{17427121-968F-405A-B76C-0F3E072AD56A},,
0128-251-08-0000,2023-12-31,,,0128251080000,{29F68FCC-5868-4FD6-BEEE-3AA95BD38A43},,
0128-251-08-0000,2023-12-31,,,0128251080000,{A2827103-1628-4AC6-A984-D8DC3559B10D},,
0459-163-19-0000,2023-10-31,,,0459163190000,{8AA457C4-5C66-4F3E-81E8-AE7E84CAAC9B},,
0258-011-26-0000,2023-05-09,,,0258011260000,{3B8DDE24-4B74-46A4-BCEB-BAF22F4353DB},,
0280-231-48-0000,2023-09-13,,,0280231480000,{9010F1E2-D2B1-4556-BDD1-E92E07B9A61A},,
0292-063-52-0000,2023-10-05,,,0292063520000,{BEA72E33-35D6-4372-A719-27119ABE23C7},,
0285-742-18-0000,2023-12-30,,,0285742180000,{FB79B826-D98D-492C-806D-2ECFB3DDAAE5},,
0348-132-24-0000,2023-05-04,,,0348132240000,{C8BE45A1-17CE-43B8-9A5E-8A59FE0F633E},,
0528-232-07-0000,2023-10-19,,,0528232070000,{EF157065-D6B0-40CE-83C0-7766E8CD85E8},,
0531-042-02-0000,2023-10-25,,,0531042020000,{FB586238-E71C-42D3-9CAE-6D37B97168E9},,
0261-111-44-0000,2023-06-23,,,0261111440000,{DFF89DDB-716A-4D44-BCE3-67A4996F7AD2},,
0292-071-61-0000,2023-10-16,,2,0292071610000,{8EDF0D05-6028-4668-8A5E-EF4718AF6E5A},,
0292-071-61-0000,2023-10-16,,2,0292071610000,{F6017E30-3E4B-432C-A8D5-9A8DDD596F68},,
0251-203-09-0000,2023-12-30,,,0251203090000,{BC50520F-9998-4234-8F1C-D465D5F6BF6A},,
0240-041-39-0000,2023-12-31,,,0240041390000,{765236B4-ADDF-4C6A-905C-49B63DA8A84E},,
0451-121-48-0000,2021-11-06,,,0451121480000,{B87E4FE9-2F32-4ED9-95EC-BA993607EC29},,
0240-041-40-0000,2023-12-31,,,0240041400000,{16895405-7A93-445A-A809-D8A9EE9B63D6},,
0240-091-10-0000,2023-12-31,,,0240091100000,{14B08862-C39E-45D1-8C8B-E89D62C7E9D9},,
0240-091-10-0000,2023-12-31,,,0240091100000,{504AF149-B614-4FCA-8892-53706FB8DD83},,
0232-091-23-0000,2023-12-31,,,0232091230000,{E7D8D7DF-E366-48A5-8F1A-BE51C5DC6179},,
0601-412-23-0000,2023-10-10,,4,0601412230000,{046F0BA1-8BF7-495B-A533-32D8DD311BD0},,
0601-412-23-0000,2023-10-10,,4,0601412230000,{8A9AEDB2-A621-45CE-8F16-9FE9C528A96D},,
0601-412-23-0000,2023-10-10,,4,0601412230000,{93421D23-BB39-4D8E-9AD1-BCD43F90C74C},,
0601-412-23-0000,2023-10-10,,4,0601412230000,{B9B7FC0E-D15A-4260-B3D9-F2DF215118AD},,
0405-331-21-0000,2023-12-31,,,0405331210000,{826E9265-84CA-49C2-8898-FB885A3B0602},,
0234-221-02-0000,2023-12-31,,,0234221020000,{BFD42973-0CBB-42C9-8A77-FF20B5EDF2F9},,
0292-082-93-0000,2023-12-30,,,0292082930000,{B31325EF-5BD4-4582-92FF-8CEAD5800E2A},,
0233-141-08-0000,2023-12-31,,,0233141080000,{0C6AEE8B-9B33-4CEB-87E5-273514B77527},,
0238-111-33-0000,2020-12-16,,6,0238111330000,{334EFD4C-9000-4A7B-8DE5-AEDAF899E8D4},,
0238-111-33-0000,2020-12-16,,6,0238111330000,{6C446246-FF3D-425E-89F7-67001340ED2A},,
0238-111-33-0000,2020-12-16,,6,0238111330000,{869632A4-F618-454C-8203-E2B7D3A4569A},,
0238-111-33-0000,2020-12-16,,6,0238111330000,{F1DF8A36-3176-4DDA-A44B-1EEC57E4DFBD},,
0238-111-33-0000,2020-12-16,,6,0238111330000,{F253A9F2-0791-443D-AA5C-10F5BC3548BF},,
0238-111-33-0000,2020-12-16,,6,0238111330000,{F9CEC398-ABED-4203-8CDC-C160A3E923E0},,
0269-061-47-0000,,2023-08-16,,0269061470000,{5CD617E8-4B6E-4AE1-A79D-C33C776EAE19},2023-08-22,2023-08-16
0473-384-05-0000,,2023-08-30,,0473384050000,{0986BF36-3C81-437E-B774-2DA473F311D2},2023-08-29,2023-08-30
0455-052-23-0000,,2023-12-31,,0455052230000,{1C309C47-93D2-40C2-AEC5-68D784D5B7DE},2022-12-31,2023-12-31
0473-363-01-0000,,2023-12-31,,0473363010000,{6F626B6C-B68D-4715-885F-856E4CCED2C2},2022-12-31,2023-12-31
