CAPI_GUID,CAPI_DOCUMENT_DATE,CAPI_BARCODE_USERID,CAPI_FORM_ID,CAPI_EVENT_DATE,CAPI_APPRAISER_NBR,CAPI_NOTE,CAPI_F_ENTRYDATE,CAPI_SCAN_DATE,CAPI_OPERATOR,CAPI_COMMITTED_FLAG,CAPI_POST_KEY,CAPI_POST_USERID
{5C628339-C895-44C3-B7B3-F8CBAE1262BE},9/11/2023,,NP0830,9/11/2023,705,,3/25/2024 16:10,3/25/2024,I3532,N,3/25/2024 16:10,I3532
{56FBB90B-2A55-43ED-8356-397FACE6F3BB},12/31/2022,,NP0830,12/31/2022,747,,3/20/2024 7:47,3/20/2024,I3532,N,3/20/2024 7:47,I3532
{6A3D6088-ACB1-41AB-9C7C-43A2CDD701CD},5/5/2023,,NP0830,5/5/2023,705,,2/8/2024 9:44,2/8/2024,I3532,N,2/8/2024 9:44,I3532
{6B3A3AC0-43F1-4C50-91F0-864932ED2558},12/31/2023,,NP0830,12/31/2023,694,12/31/2023 REV-DCL EVENT APPRAISAL,4/8/2024 11:06,4/8/2024,I3532,N,4/8/2024 11:06,I3532
{635A7B10-A8AB-4FF4-9330-61576EC38B5A},5/9/2023,,NP0830,5/9/2023,732,,12/7/2023 7:34,12/7/2023,I3532,N,12/7/2023 7:34,I3532
{7042085F-E258-4CEA-B425-1D4B328C4151},12/31/2021,,NP0830,12/31/2021,689,,5/9/2022 15:46,5/9/2022,H8585,N,5/9/2022 15:46,H8585
{744ED70D-9C0F-461B-867F-4B08D54CABD9},12/31/2020,,NP0830,12/31/2020,720,INCOME AND COST,6/8/2021 16:54,6/8/2021,H8585,N,6/8/2021 16:54,H8585
{77CEA620-A745-4593-8D67-B43467E4CDF9},12/31/2022,,NP0830,12/31/2022,747,,3/20/2024 7:47,3/20/2024,I3532,N,3/20/2024 7:47,I3532
{78FAC144-ADD6-46C6-81EE-E10A0ED1F234},12/31/2022,,NP0830,12/31/2022,671,,4/10/2023 10:55,4/10/2023,H8585,N,4/10/2023 10:55,H8585
{8DEB396F-8E1D-434E-8693-99A54354B54B},12/31/2023,,NP0830,12/31/2023,730,12/31/23 PROP 8 REVIEW,4/11/2024 16:41,4/11/2024,I3532,N,4/11/2024 16:41,I3532
{818A8A63-8411-4CF9-93BB-0C01D194B7D2},12/31/2020,,NP0830,12/31/2020,679,,7/21/2022 9:26,7/21/2022,H8585,N,7/21/2022 9:26,H8585
{9603D688-C564-4F98-8E98-FB970B26884F},11/17/2023,,NP0830,11/17/2023,733,CON-NEW,3/19/2024 7:55,3/19/2024,I3532,N,3/19/2024 7:55,I3532
